資料日期,資料時間,代號,名稱,前日均價,報買價,報買量,報賣價,報賣量,日最高,日最低,日均價,成交,投資人成交買賣別,暫停交易開始時間,成交量,進度日期,上市櫃進度
"1150211","163004","7816","來穎","62","61","5400","62.4","3000","62.3","60","61.82","61","S","000000","15438","",""
"1150211","163004","7818","溢泰實業","102.75","101","6000","102","3000","103","101","101.59","102","B","000000","34881","20251223","e"
"1150211","163004","7819","精誠金融","96.95","96","3000","97.8","2998","98.3","97.8","98.13","97.8","B","000000","1483","20260203","B"
"1150211","163004","7820","立盈","179.21","184","3000","188","5000","191","181","186.01","189","B","000000","59859","20251223","E"
"1150211","163004","7821","神數","53.46","53.1","5954","54.2","5000","54.2","52.1","53.38","54.2","B","000000","28157","20251223","e"
"1150211","163004","7822","倍利科","1300.68","1480","2000","1495","2000","1500","1300","1422.69","1490","S","000000","462085","20251223","e"
"1150211","163004","7824","智寶","60.8","57.3","3000","58.5","2000","59","57.1","58","58.5","B","000000","22422","",""
"1150211","163004","7825","和亞智慧","56.37","54.5","3000","55.5","2999","57.2","54","55.3","55.5","B","000000","91434","",""
"1150211","163004","7826","極風雲創","42.65","42.65","3000","44.8","3000","0","0","0","0","","000000","0","",""
"1150211","163004","7827","漢康-KY","129.73","129","3000","130","7964","131","128.5","129.36","130","B","000000","213641","20251124","k"
"1150211","163004","7828","創新服務","996.36","1005","3155","1020","2253","1020","900","975.33","1020","B","000000","808884","20260209","E"
"1150211","163004","7829","思捷優達-KY","59.49","57.8","6000","58.7","2995","59.6","57.9","58.48","58.7","B","000000","226439","",""
"1150211","163004","7831","捷博","42.1","41.5","3000","42.1","3000","0","0","0","0","","000000","0","",""
"1150211","163004","7832","智新生技*","14.28","14.45","15000","14.55","19999","14.6","14.2","14.5","14.55","B","000000","311527","",""
"1150211","163004","7833","綠岩能源","31.21","32.1","3000","33.65","3000","34","31.3","32.36","33.65","B","000000","118110","",""
"1150211","163004","7834","來毅數位","19.1","18.2","5000","19.1","5000","19.2","18.35","18.74","19.05","B","000000","15277","",""
"1150211","163004","7836","智生活","58.38","59","6000","59.9","2990","60.5","58","59.1","59.9","B","000000","59840","",""
"1150211","163004","7837","啟新生","115.5","111","2000","115.5","3900","115.5","115.5","115.5","115.5","B","000000","100","",""
"1150211","163004","7839","達人網","61.85","61.8","6000","65","6000","0","0","0","0","","000000","0","20251222","A"
"1150211","163004","7840","祥圃","39.95","38.05","3000","39.95","3000","39.95","39.95","39.95","39.95","B","000000","2000","",""
"1150211","163004","7841","經貿聯網","30.05","29.9","3000","30.1","8000","30.05","29.9","29.96","30","B","000000","7003","",""
"1150211","163004","7842","天能綠電","161.11","160","2000","165.5","1699","165.5","158","161.51","165.5","B","000000","4580","20260209","E"
"1150211","163004","7843","英柏得","64.03","60.8","3000","63","3000","64.6","60.7","61.9","62.9","B","000000","83091","",""
"1150211","163004","7846","德揚","41.1","40.95","3000","42.95","6000","41","40.95","40.99","41","S","000000","2601","",""
"1150211","163004","7847","豊漁","31.85","31.25","3000","32.55","3000","32","31.35","31.53","31.35","S","000000","34365","",""
"1150211","163004","7848","騏億鑫","397.28","396","4000","400","2000","399","395","396.72","399","B","000000","11282","",""
"1150211","163004","7849","旭誼","151.54","145.5","1975","152","2000","152","145.5","148.94","145.5","S","000000","1200","",""
"1150211","163004","7850","寶泰生醫","23.78","23.2","3000","23.7","3000","24","23.2","23.56","23.45","B","000000","145502","",""
"1150211","163004","7851","慧康生技*-KY","27.7","26.9","6000","27.9","2999","27.95","26.9","27.16","27.9","B","000000","37005","",""
"1150211","163004","7853","政美應用","115.07","115.5","7800","116.5","9999","117","105.5","112.44","116.5","B","000000","1225677","",""
"1150211","163004","7854","佐茂","67.4","66.1","3000","68.7","3000","70.9","64.8","67.79","66.8","B","000000","69543","",""
"1150211","163004","7855","和運租車","109.67","108.5","2000","110","4000","110","109.5","109.77","109.5","S","000000","3644","",""
"1150211","163004","7856","漢測","2004.25","1965","1884","1985","2801","1995","1840","1936.65","1985","B","000000","220827","",""
"1150211","163004","7857","合水先進","48.85","46.6","6000","48.8","2970","48.8","46.6","48.79","48.8","B","000000","5063","",""
"1150211","163004","7858","芝普","80.5","80.4","3000","81.2","2989","82.3","79","80.97","80.7","B","000000","66313","",""
"1150211","163004","7860","得生製藥","70","63.8","3000","67","2900","70","66.5","66.65","67","B","000000","7126","",""
"1150211","163004","7861","貝爾威勒","525.99","566","4000","582","4997","626","546","585.15","582","B","000000","518714","",""
"1150211","163004","7862","聚泰","49.93","48.35","6000","50","5888","50","50","50","50","B","000000","112","",""
"1150211","163004","7863","中科物流","42.55","34.25","6000","36.05","5935","42.95","35.8","38.56","36.05","B","000000","55467","",""
"1150211","163004","7865","金聯成","49.07","48.3","3000","50.5","3000","50.5","49.5","50","49.5","S","000000","12000","",""
"1150211","163004","7866","丹立","74.47","75.4","2000","76","2998","81.7","75.1","77.07","76","B","000000","264919","",""
